time,seconds_elapsed,z,y,x
1694728531052230000,211.05322998046876,32.79375076293945,35.962501525878906,-9.33750057220459
1694728531072230000,211.07322998046874,34.33125305175781,34.96875,-10.350000381469727
1694728531092237300,211.0932373046875,35.38125228881836,33.65625,-9.975000381469727
1694728531112238800,211.11323876953125,36.39375305175781,32.23125076293945,-10.5
1694728531132247600,211.13324755859375,37.556251525878906,30.76875114440918,-9.018750190734863
1694728531152250000,211.15325,38.306251525878906,29.55000114440918,-7.912500381469727
1694728531172247600,211.17324755859374,39.76875305175781,28.181251525878906,-6.018750190734863
1694728531192252700,211.19325268554687,40.40625,27.506250381469727,-4.818750381469727
1694728531212252200,211.21325219726563,39.69375228881836,26.906251907348633,-3.731250047683716
1694728531232251400,211.23325146484376,40.03125,26.850000381469727,-2.418750047683716
1694728531252247300,211.25324731445312,39.50625228881836,27.656251907348633,-2.3062500953674316
1694728531272246800,211.27324682617189,38.587501525878906,28.912500381469727,-1.5750000476837158
1694728531292253700,211.29325366210938,36.73125076293945,30.225000381469727,-1.8750001192092896
1694728531312247600,211.31324755859376,35.47500228881836,32.15625,-2.231250047683716
1694728531332238000,211.33323803710937,35.28750228881836,33.39375305175781,-2.606250047683716
1694728531352238300,211.35323828125,34.556251525878906,33.50625228881836,-2.0062501430511475
1694728531372223500,211.37322338867187,35.60625076293945,32.98125076293945,-1.2937500476837158
1694728531392231700,211.39323168945313,36.337501525878906,32.19375228881836,-0.8062500357627869
1694728531412229600,211.41322973632813,36.65625,31.875001907348633,0.1875
1694728531432230700,211.43323071289063,36.35625076293945,31.162500381469727,0.4687500298023224
1694728531452232700,211.45323266601562,35.51250076293945,31.162500381469727,0.75
1694728531472241700,211.47324169921876,36.86250305175781,30.375001907348633,0.5437500476837158
1694728531492244500,211.49324438476563,37.6875,29.83125114440918,-0.24375000596046448
1694728531512242200,211.5132421875,36.95625305175781,30.431251525878906,-0.956250011920929
1694728531532247600,211.53324755859376,36.54375076293945,31.406251907348633,-0.7312500476837158
1694728531552258800,211.5532587890625,35.38125228881836,32.962501525878906,-2.1187500953674316
1694728531572257000,211.57325708007812,34.33125305175781,34.10625076293945,-2.606250047683716
1694728531592253400,211.59325341796875,32.36250305175781,35.587501525878906,-2.887500047683716
1694728531612250400,211.61325048828124,31.443750381469727,36.5625,-3.187500238418579
1694728531632247800,211.6332478027344,30.600000381469727,37.96875,-3.7687501907348633
1694728531652241700,211.65324169921874,29.887500762939453,38.493751525878906,-3.450000047683716
1694728531672232700,211.67323266601562,29.062501907348633,39.11250305175781,-3.1312501430511475
1694728531692233500,211.6932333984375,28.33125114440918,39.5625,-3.3375000953674316
